"Description: This spreadsheet contains the IMBIE-2019 dataset for Greenland, which includes data on the annual rate of change and cumulative change in Greenland’s ice sheet mass, its surface mass balance and ice discharge anomalies, and their estimated uncertainty. The data are expressed in units of equivalent mean global sea level rise (millimetres per year – columns B, C, F, G, J and K, and millimetres – columns D, E, H, I, L and M).	",,,,,,,,,,,,
Source: http://imbie.org/data-downloads/,,,,,,,,,,,,
"Publication: The IMBIE Team, Mass balance of the Greenland Ice Sheet from 1992 to 2018. Nature, (2019)",,,,,,,,,,,,
"Downloaded: May 23, 2020",,,,,,,,,,,,
,,,,,,,,,,,,
Year,Rate of ice sheet mass change (mm sea level/yr),Rate of ice sheet mass change uncertainty (mm sea level/yr),Cumulative ice sheet mass change (mm sea level),Cumulative ice sheet mass change uncertainty (mm sea level),Rate of mass balance anomaly uncertainty (mm sea level/yr),Cumulative surface mass balance anomaly (mm sea level/yr),Cumulative surface mass balance anomaly (mm sea level),Cumulative surface mass balance anomaly uncertainty (mm sea level),Rate of ice dynamics anomaly (mm sea level/yr),Rate of ice dyanamics anomaly uncertainty (mm sea level/yr),Cumulative ice dynamics anomaly (mm sea level),Cumulative ice dynamics anomaly uncertainty (mm sea level)
2002.50,0.4096906565656570000000,0.2289347311159040000000,1.1667609328729700000000,0.6421263084375640000000,0.1431518982516670000000,0.2131451230333330000000,0.0121060312732782000000,1.0294632435338700000000,0.2665387583139900000000,0.3127969862131120000000,1.2334640592538500000000,0.9591975047209000000000
2002.58,0.3346722577533780000000,0.1909182053879350000000,1.1946502876857500000000,0.6444871419069320000000,0.1431518982516670000000,0.2131451230333330000000,0.0240353561275838000000,1.0313003798166800000000,0.1915203595017110000000,0.2861478719498790000000,1.2494240892123300000000,0.9627477534542760000000
2002.67,0.3346722577533780000000,0.1909182053879350000000,1.2225396424985300000000,0.6468393588666970000000,0.1431518982516670000000,0.2131451230333330000000,0.0359646809818893000000,1.0331342492787500000000,0.1915203595017110000000,0.2861478719498790000000,1.2653841191708100000000,0.9662849582290460000000
2002.75,0.3346722577533780000000,0.1909182053879350000000,1.2504289973113100000000,0.6491830529787350000000,0.1431518982516670000000,0.2131451230333330000000,0.0478940058361949000000,1.0349648692856700000000,0.1915203595017110000000,0.2861478719498790000000,1.2813441491292800000000,0.9698092617716960000000
2002.83,0.3346722577533780000000,0.1909182053879350000000,1.2783183521240900000000,0.6515183162202760000000,0.1431518982516670000000,0.2131451230333330000000,0.0598233306905005000000,1.0367922570497200000000,0.1915203595017110000000,0.2861478719498790000000,1.2973041790877600000000,0.9733208042247000000000
2002.92,0.3346722577533780000000,0.1909182053879350000000,1.3062077069368700000000,0.6538452389260140000000,0.1431518982516670000000,0.2131451230333330000000,0.0717526555448060000000,1.0386164296317400000000,0.1915203595017110000000,0.2861478719498790000000,1.3132642090462300000000,0.9768197232115400000000
2003.00,0.4259572996785630000000,0.1672402372111420000000,1.3417041485767600000000,0.6556251758523460000000,0.1184256836277780000000,0.2461440888361110000000,0.0816214625137875000000,1.0410441860331400000000,0.3075316160507850000000,0.2975839535515960000000,1.3388918437171300000000,0.9805898509431390000000
2003.08,0.4259572996785630000000,0.1672402372111420000000,1.3772005902166400000000,0.6574002935477160000000,0.1184256836277780000000,0.2461440888361110000000,0.0914902694827689000000,1.0434662939672800000000,0.3075316160507850000000,0.2975839535515960000000,1.3645194783880300000000,0.9843455388684930000000
2003.17,0.4259572996785630000000,0.1672402372111420000000,1.4126970318565200000000,0.6591706309460590000000,0.1184256836277780000000,0.2461440888361110000000,0.1013590764517500000000,1.0458827926771900000000,0.3075316160507850000000,0.2975839535515960000000,1.3901471130589300000000,0.9880869516433870000000
2003.25,0.4366314227887270000000,0.1653417659452560000000,1.4490829837555800000000,0.6608964207793720000000,0.1184256836277780000000,0.2461440888361110000000,0.1112278834207320000000,1.0482937209535500000000,0.3182057391609500000000,0.2965211831132050000000,1.4166642579890100000000,0.9917877251093050000000
2003.33,0.4366314227887270000000,0.1653417659452560000000,1.4854689356546400000000,0.6626177158031180000000,0.1184256836277780000000,0.2461440888361110000000,0.1210966903897130000000,1.0506991171420400000000,0.3182057391609500000000,0.2965211831132050000000,1.4431814029190900000000,0.9954747406876090000000
2003.42,0.4366314227887270000000,0.1653417659452560000000,1.5218548875537000000000,0.6643345509555410000000,0.1184256836277780000000,0.2461440888361110000000,0.1309654973586950000000,1.0530990191503700000000,0.3182057391609500000000,0.2965211831132050000000,1.4696985478491700000000,0.9991481506846890000000
2003.50,0.4401150764649070000000,0.1734645703856110000000,1.5585311439257700000000,0.6662191021164800000000,0.1184256836277780000000,0.2461440888361110000000,0.1408343043276760000000,1.0554934644553200000000,0.3216893928371290000000,0.3011260029423300000000,1.4965059972522600000000,1.0029224460648200000000
2003.58,0.4401150764649070000000,0.1734645703856110000000,1.5952074002978500000000,0.6680983374148430000000,0.1184256836277780000000,0.2461440888361110000000,0.1507031112966580000000,1.0578824901095100000000,0.3216893928371290000000,0.3011260029423300000000,1.5233134466553600000000,1.0066825908024000000000
